"TEAM BEVEL",1,adewale-the-amebo,"adewale the amebo","Adewale likes to be in everyone's business. ",Male,"hair: bald;  eyes: black;  teeth: none;  clothing: red;  accessories: mask;  expression: none;  strength: powerful;  weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,8383b4b385152c9e5c11910c14950947770c0995df75f2477f39c6a225c52148
,2,alli-the-queeny,"alli the queeny","Alli is an LGBT Stan.",Male,"hair: bald;  eyes: white;  teeth: none;  clothing: yellow;  accessories: mask;  expression: none;  strength: powerful;  weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,ca83ddf18cb736f8c72e5653a467739a04a3b71994c80d5e6e4c23380b0197b1
,3,aminat-the-snnobish,"aminat the snnobish","Aminat never really wants to talk to anyone.",Female,"hair: brown bun;  eyes: none;  teeth: none;  clothing: yellow;  accessories: glasses;  expression: blank;  strength: none;  weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,fa197e25d394d2fddf2576d78ae9a64f2c103710e2de55158f5c918d2aad76d1
,4,aminu-the-carpenter,"aminu the carpenter","Aminu's hands are blessed; he makes the best furniture in the whole of Kano.",Male,"hair: bald;  eyes: blue;  teeth: none;  clothing: yellow;  accessories: mask;  expression: none;  strength: powerful;  weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,cce58e310a68ea16a9dddf266ae68fb3af10097c3b7970d0cb2d74cf911e623e
,5,chibuike-the-kudibag,"chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.",Male,"hair: bald;  eyes: black;  teeth: none;  clothing: blue;  accessories: mask;  expression: none;  strength: hustler;  weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,9bc9881a68342aa1cbae9160cd6406922d4cd0efe91dae003fec10e97b99affc
,6,chidinma-the-model,"chidinma the model","From Paris' runways; to London's streets; she's always in demand.",Female,"hair: brown hair;  eyes: none;  teeth: none;  clothing: multicolored;  accessories: glasses;  expression: none;  strength: hardworking;  weakness: none",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,d0681748222a49ad957b5bb5d126cf70d5f7e05c5d9f061e1abbcda0f52ffa77
,7,"chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.",Female,"hair: dreads;  eyes: none;  teeth: none;  clothing: multicolored;  accessories: glasses;  expression: none;  strength: none;  weakness: none",182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,561b3db06c154412b1af25d421b26a07f544adc17c17cbfd2ed0684c4b410f46
,8,damilare-the-handsome,"damilare the handsome","He's a fine boy; proper eye candy. ",Male,"hair: bald;  eyes: white;  teeth: none;  clothing: yellow;  accessories: mask;  expression: none;  strength: none;  weakness: none",27eca2dc-d7df-474a-8f8f-1858152c711e,149e79681a44cfa85a3c8c9395a9aa134d0bcacc9203592c2ff2879c11832b01
,9,ebiowie-the-planter,"ebiowie the planter","Ebiowei has a reputation for nurturing plants.",Male,"hair: bald;  eyes: none;  teeth: none;  clothing: multicolored;  accessories: none;  expression: none;  strength: powerful;  weakness: none",f1df8270-4d60-4bd4-8959-ba7c384db5c4,ff7a32994099a658c685e56cb579489dd3cd387b9d33ee96ec06796936526fe7
,10,emeka-the-businessman,"emeka the businessman","Emeka only cares about containers. No time to waste.",Male,"hair: bald;  eyes: white;  teeth: none;  clothing: orange;  accessories: mask;  expression: none;  strength: hard worker;  weakness: none",9b3d75da-4887-4089-aee4-50de3954fdc9,8beafd26f764dbee4f7d7d37aa4ab059feaeb92a588367cf1909b2c6b71af0db
